Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
verifyElementPresent,Chrome 69.0.3497.92,validate the dashboard,2018-09-14 16:01:58,2018-09-14 16:01:59,1.067s,PASSED
,,,,,,
"Test Cases/completed/TestCase2_Link Genrator Short link/callingLInkGenrateWIthEmail,Num",Chrome 69.0.3497.92,Calling Link genrate with email id and number,2018-09-14 16:01:59,2018-09-14 16:02:43,44.093s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-14 16:02:00,2018-09-14 16:02:26,26.843s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-14 16:02:26,2018-09-14 16:02:26,0.011s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:02:26,2018-09-14 16:02:27,0.280s,PASSED
Statement - x = CustomKeywords.newPackage.newKeyword.randomString(3).toLowerCase(),Chrome 69.0.3497.92,,2018-09-14 16:02:27,2018-09-14 16:02:27,0.086s,PASSED
Statement - teamMeberName = x,Chrome 69.0.3497.92,,2018-09-14 16:02:27,2018-09-14 16:02:27,0.002s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:02:27,2018-09-14 16:02:27,0.528s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:02:27,2018-09-14 16:02:28,0.523s,PASSED
Statement - number = CustomKeywords.phoneNumbers.contactNumbers.randomString(9),Chrome 69.0.3497.92,,2018-09-14 16:02:28,2018-09-14 16:02:28,0.029s,PASSED
Statement - Mobile_Number = number,Chrome 69.0.3497.92,,2018-09-14 16:02:28,2018-09-14 16:02:28,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:02:28,2018-09-14 16:02:28,0.382s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:02:28,2018-09-14 16:02:29,0.214s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:02:29,2018-09-14 16:02:29,0.229s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-14 16:02:29,2018-09-14 16:02:29,0.612s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-14 16:02:29,2018-09-14 16:02:29,0.004s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:02:29,2018-09-14 16:02:31,2.012s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:02:31,2018-09-14 16:02:31,0.095s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:02:31,2018-09-14 16:02:33,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:02:33,2018-09-14 16:02:34,0.093s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-14 16:02:34,2018-09-14 16:02:34,0.106s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:02:34,2018-09-14 16:02:39,5.002s,PASSED
"Statement - linkUserName = driver.findElements(org.openqa.selenium.By.className(""text-link-log""))",Chrome 69.0.3497.92,,2018-09-14 16:02:39,2018-09-14 16:02:39,0.040s,PASSED
Statement - previousCountValue = 0,Chrome 69.0.3497.92,,2018-09-14 16:02:39,2018-09-14 16:02:39,0.001s,PASSED
"Statement - For ([i = 0, i < linkUserName.size(), (i++)])",Chrome 69.0.3497.92,,2018-09-14 16:02:39,2018-09-14 16:02:41,1.795s,PASSED
Statement - js = driver,Chrome 69.0.3497.92,,2018-09-14 16:02:41,2018-09-14 16:02:41,0.002s,PASSED
"Statement - js.executeScript(""window.open();"")",Chrome 69.0.3497.92,,2018-09-14 16:02:41,2018-09-14 16:02:41,0.078s,PASSED
Statement - currentWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:02:41,2018-09-14 16:02:41,0.026s,PASSED
switchToWindowIndex,Chrome 69.0.3497.92,,2018-09-14 16:02:41,2018-09-14 16:02:41,0.042s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 16:02:41,2018-09-14 16:02:43,2.163s,PASSED
Statement - currentTab = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:02:43,2018-09-14 16:02:43,0.010s,PASSED
,,,,,,
Test Cases/completed/TestCase2_Link Genrator Short link/callingLinkGenrateWithEmail,Chrome 69.0.3497.92,Calling Link genrate with email,2018-09-14 16:02:43,2018-09-14 16:03:54,1m - 10.935s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-14 16:02:44,2018-09-14 16:03:09,25.206s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-14 16:03:09,2018-09-14 16:03:09,0.002s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:03:09,2018-09-14 16:03:15,5.875s,PASSED
Statement - x = CustomKeywords.newPackage.newKeyword.randomString(3).toLowerCase(),Chrome 69.0.3497.92,,2018-09-14 16:03:15,2018-09-14 16:03:15,0.001s,PASSED
Statement - teamMeberName = x,Chrome 69.0.3497.92,,2018-09-14 16:03:15,2018-09-14 16:03:15,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:03:15,2018-09-14 16:03:15,0.149s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-14 16:03:15,2018-09-14 16:03:15,0.420s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:03:15,2018-09-14 16:03:20,5.268s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:03:20,2018-09-14 16:03:26,5.097s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:03:26,2018-09-14 16:03:30,4.001s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-14 16:03:30,2018-09-14 16:03:30,0.378s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-14 16:03:30,2018-09-14 16:03:30,0.001s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:03:30,2018-09-14 16:03:32,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:03:32,2018-09-14 16:03:37,5.149s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:03:37,2018-09-14 16:03:39,2.002s,PASSED
click,Chrome 69.0.3497.92,,2018-09-14 16:03:39,2018-09-14 16:03:44,5.081s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-14 16:03:44,2018-09-14 16:03:44,0.103s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-14 16:03:44,2018-09-14 16:03:49,5.004s,PASSED
"Statement - linkUserName = driver.findElements(org.openqa.selenium.By.className(""text-link-log""))",Chrome 69.0.3497.92,,2018-09-14 16:03:49,2018-09-14 16:03:49,0.027s,PASSED
Statement - previousCountValue = 0,Chrome 69.0.3497.92,,2018-09-14 16:03:49,2018-09-14 16:03:49,0.001s,PASSED
"Statement - For ([i = 0, i < linkUserName.size(), (i++)])",Chrome 69.0.3497.92,,2018-09-14 16:03:49,2018-09-14 16:03:52,2.172s,PASSED
Statement - js = driver,Chrome 69.0.3497.92,,2018-09-14 16:03:52,2018-09-14 16:03:52,0.001s,PASSED
"Statement - js.executeScript(""window.open();"")",Chrome 69.0.3497.92,,2018-09-14 16:03:52,2018-09-14 16:03:52,0.057s,PASSED
Statement - currentWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:03:52,2018-09-14 16:03:52,0.021s,PASSED
switchToWindowIndex,Chrome 69.0.3497.92,,2018-09-14 16:03:52,2018-09-14 16:03:52,0.016s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-14 16:03:52,2018-09-14 16:03:54,2.172s,PASSED
Statement - currentTab = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-14 16:03:54,2018-09-14 16:03:54,0.016s,PASSED
,,,,,,
Test Cases/completed/TestCase2_Link Genrator Short link/callingLinkGenrateWithNumber,Chrome 69.0.3497.92,Link genrate through number with call,2018-09-14 16:03:54,2018-09-14 16:04:36,41.712s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-14 16:03:54,2018-09-14 16:04:20,25.644s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-14 16:04:20,2018-09-14 16:04:20,0.001s,PASSED
