Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 68.0.3440.106,,2018-09-05 17:55:36,2018-09-05 19:11:19,1h - 15m - 42.946s,FAILED
,,,,,,
Test Cases/completed/TestCase1_Login/Email_Invalid,Chrome 68.0.3440.106,When Email entered is invalid or not in the database,2018-09-05 17:55:37,2018-09-05 17:55:51,14.121s,PASSED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 17:55:37,2018-09-05 17:55:42,5.120s,PASSED
navigateToUrl,Chrome 68.0.3440.106,Open the URL,2018-09-05 17:55:42,2018-09-05 17:55:46,3.826s,PASSED
setText,Chrome 68.0.3440.106,enter the invalid email id,2018-09-05 17:55:46,2018-09-05 17:55:48,1.670s,PASSED
click,Chrome 68.0.3440.106,click on GET OTP button,2018-09-05 17:55:48,2018-09-05 17:55:48,0.513s,PASSED
waitForElementPresent,Chrome 68.0.3440.106,validate retry button is displayed,2018-09-05 17:55:48,2018-09-05 17:55:49,0.221s,PASSED
verifyElementText,Chrome 68.0.3440.106,validate the retry button is present,2018-09-05 17:55:49,2018-09-05 17:55:49,0.226s,PASSED
verifyElementPresent,Chrome 68.0.3440.106,validate the inactive OTP button,2018-09-05 17:55:49,2018-09-05 17:55:49,0.227s,PASSED
click,Chrome 68.0.3440.106,click on the Retry button,2018-09-05 17:55:49,2018-09-05 17:55:49,0.279s,PASSED
verifyMatch,Chrome 68.0.3440.106,after click on retry button then validate the empty email input box,2018-09-05 17:55:49,2018-09-05 17:55:50,0.288s,PASSED
closeBrowser,Chrome 68.0.3440.106,,2018-09-05 17:55:50,2018-09-05 17:55:51,1.024s,PASSED
,,,,,,
Test Cases/completed/TestCase1_Login/LoginWrongOTP,Chrome 68.0.3440.106,Agnet login with wrong OTP,2018-09-05 17:55:51,2018-09-05 17:56:04,13.721s,FAILED
openBrowser,Chrome 68.0.3440.106,,2018-09-05 17:55:51,2018-09-05 17:55:53,2.112s,PASSED
navigateToUrl,Chrome 68.0.3440.106,open the URL,2018-09-05 17:55:53,2018-09-05 17:55:57,3.665s,PASSED
