Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
RegressionSuite,Chrome 69.0.3497.92,,2018-09-15 10:32:27,2018-09-15 11:46:49,1h - 14m - 22.758s,FAILED
,,,,,,
Test Cases/completed/TestCase1_Login/Email_Invalid,Chrome 69.0.3497.92,When Email entered is invalid or not in the database,2018-09-15 10:32:27,2018-09-15 10:32:40,12.590s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-15 10:32:28,2018-09-15 10:32:33,4.787s,PASSED
navigateToUrl,Chrome 69.0.3497.92,Open the URL,2018-09-15 10:32:33,2018-09-15 10:32:37,4.137s,PASSED
setText,Chrome 69.0.3497.92,enter the invalid email id,2018-09-15 10:32:37,2018-09-15 10:32:37,0.503s,PASSED
click,Chrome 69.0.3497.92,click on GET OTP button,2018-09-15 10:32:37,2018-09-15 10:32:38,0.307s,PASSED
waitForElementPresent,Chrome 69.0.3497.92,validate retry button is displayed,2018-09-15 10:32:38,2018-09-15 10:32:38,0.083s,PASSED
verifyElementText,Chrome 69.0.3497.92,validate the retry button is present,2018-09-15 10:32:38,2018-09-15 10:32:38,0.184s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,validate the inactive OTP button,2018-09-15 10:32:38,2018-09-15 10:32:38,0.093s,PASSED
click,Chrome 69.0.3497.92,click on the Retry button,2018-09-15 10:32:38,2018-09-15 10:32:39,0.432s,PASSED
verifyMatch,Chrome 69.0.3497.92,after click on retry button then validate the empty email input box,2018-09-15 10:32:39,2018-09-15 10:32:39,0.185s,PASSED
closeBrowser,Chrome 69.0.3497.92,,2018-09-15 10:32:39,2018-09-15 10:32:40,1.285s,PASSED
,,,,,,
Test Cases/completed/TestCase1_Login/LoginWrongOTP,Chrome 69.0.3497.92,Agnet login with wrong OTP,2018-09-15 10:32:40,2018-09-15 10:32:53,13.098s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-15 10:32:40,2018-09-15 10:32:43,2.210s,PASSED
navigateToUrl,Chrome 69.0.3497.92,open the URL,2018-09-15 10:32:43,2018-09-15 10:32:46,3.617s,PASSED
maximizeWindow,Chrome 69.0.3497.92,,2018-09-15 10:32:46,2018-09-15 10:32:47,1.172s,PASSED
setText,Chrome 69.0.3497.92,Eneter the valid email id,2018-09-15 10:32:47,2018-09-15 10:32:48,0.526s,PASSED
click,Chrome 69.0.3497.92,click on GET OTP button,2018-09-15 10:32:48,2018-09-15 10:32:48,0.187s,PASSED
setText,Chrome 69.0.3497.92,enter the wrong OTP,2018-09-15 10:32:48,2018-09-15 10:32:51,3.249s,PASSED
click,Chrome 69.0.3497.92,click on submit button,2018-09-15 10:32:51,2018-09-15 10:32:51,0.080s,PASSED
verifyElementText,Chrome 69.0.3497.92,validate the Retry button,2018-09-15 10:32:51,2018-09-15 10:32:53,1.598s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,validate the inactive OTP button,2018-09-15 10:32:53,2018-09-15 10:32:53,0.034s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:32:53,2018-09-15 10:32:53,0.097s,PASSED
,,,,,,
Test Cases/completed/TestCase1_Login/Simple_Login,Chrome 69.0.3497.92,Successful login,2018-09-15 10:32:53,2018-09-15 10:33:21,27.391s,PASSED
openBrowser,Chrome 69.0.3497.92,,2018-09-15 10:32:54,2018-09-15 10:32:57,3.048s,PASSED
maximizeWindow,Chrome 69.0.3497.92,,2018-09-15 10:32:57,2018-09-15 10:32:58,1.128s,PASSED
navigateToUrl,Chrome 69.0.3497.92,open a link through global varaiable,2018-09-15 10:32:58,2018-09-15 10:33:01,3.435s,PASSED
setText,Chrome 69.0.3497.92,enter the email id through global variable,2018-09-15 10:33:01,2018-09-15 10:33:02,0.427s,PASSED
click,Chrome 69.0.3497.92,click on GET OTP Button,2018-09-15 10:33:02,2018-09-15 10:33:02,0.204s,PASSED
waitForElementPresent,Chrome 69.0.3497.92,,2018-09-15 10:33:02,2018-09-15 10:33:04,1.626s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementNotPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Login/div_SUBMIT), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-15 10:33:04,2018-09-15 10:33:09,5.574s,PASSED
Statement - sleep(5000),Chrome 69.0.3497.92,,2018-09-15 10:33:09,2018-09-15 10:33:14,5.003s,PASSED
Statement - OTP = getOTP(),Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.001s,PASSED
"Statement - host = ""imap.gmail.com""",Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.000s,PASSED
Statement - msg = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.000s,PASSED
Statement - msgSub = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.004s,PASSED
"Statement - OTP = ""unavailable""",Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.000s,PASSED
Statement - props = new java.util.Properties(),Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.025s,PASSED
"Statement - props.setProperty(""mail.imap.ssl.enable"", ""true"")",Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.000s,PASSED
Statement - session = javax.mail.Session.getInstance(props),Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.038s,PASSED
Statement - store = <not implemented yet for class: org.codehaus.groovy.ast.expr.EmptyExpression>,Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:14,0.001s,PASSED
Statement - Try,Chrome 69.0.3497.92,,2018-09-15 10:33:14,2018-09-15 10:33:19,5.043s,PASSED
Statement - return OTP,Chrome 69.0.3497.92,,2018-09-15 10:33:19,2018-09-15 10:33:19,0.001s,PASSED
"Statement - If (OTP.equals(""unavailable""))",Chrome 69.0.3497.92,,2018-09-15 10:33:19,2018-09-15 10:33:19,0.001s,PASSED
Statement - Else,Chrome 69.0.3497.92,,2018-09-15 10:33:19,2018-09-15 10:33:19,0.145s,PASSED
verifyElementPresent,Chrome 69.0.3497.92,validate the dashboard,2018-09-15 10:33:19,2018-09-15 10:33:21,1.073s,PASSED
,,,,,,
"Test Cases/completed/TestCase2_Link Genrator Short link/callingLInkGenrateWIthEmail,Num",Chrome 69.0.3497.92,Calling Link genrate with email id and number,2018-09-15 10:33:21,2018-09-15 10:34:05,44.226s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 10:33:21,2018-09-15 10:33:48,26.616s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-15 10:33:48,2018-09-15 10:33:48,0.016s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:33:48,2018-09-15 10:33:49,0.753s,PASSED
Statement - x = CustomKeywords.newPackage.newKeyword.randomString(3).toLowerCase(),Chrome 69.0.3497.92,,2018-09-15 10:33:49,2018-09-15 10:33:49,0.039s,PASSED
Statement - teamMeberName = x,Chrome 69.0.3497.92,,2018-09-15 10:33:49,2018-09-15 10:33:49,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 10:33:49,2018-09-15 10:33:49,0.537s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 10:33:49,2018-09-15 10:33:50,0.599s,PASSED
Statement - number = CustomKeywords.phoneNumbers.contactNumbers.randomString(9),Chrome 69.0.3497.92,,2018-09-15 10:33:50,2018-09-15 10:33:50,0.015s,PASSED
Statement - Mobile_Number = number,Chrome 69.0.3497.92,,2018-09-15 10:33:50,2018-09-15 10:33:50,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 10:33:50,2018-09-15 10:33:50,0.272s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:33:50,2018-09-15 10:33:50,0.117s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:33:50,2018-09-15 10:33:50,0.272s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-15 10:33:50,2018-09-15 10:33:51,0.667s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-15 10:33:51,2018-09-15 10:33:51,0.004s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:33:51,2018-09-15 10:33:53,2.016s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:33:53,2018-09-15 10:33:53,0.153s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:33:53,2018-09-15 10:33:55,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:33:55,2018-09-15 10:33:55,0.107s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-15 10:33:55,2018-09-15 10:33:55,0.103s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:33:55,2018-09-15 10:34:00,5.001s,PASSED
"Statement - linkUserName = driver.findElements(org.openqa.selenium.By.className(""text-link-log""))",Chrome 69.0.3497.92,,2018-09-15 10:34:00,2018-09-15 10:34:00,0.047s,PASSED
Statement - previousCountValue = 0,Chrome 69.0.3497.92,,2018-09-15 10:34:00,2018-09-15 10:34:00,0.004s,PASSED
"Statement - For ([i = 0, i < linkUserName.size(), (i++)])",Chrome 69.0.3497.92,,2018-09-15 10:34:00,2018-09-15 10:34:02,1.998s,PASSED
Statement - js = driver,Chrome 69.0.3497.92,,2018-09-15 10:34:02,2018-09-15 10:34:02,0.002s,PASSED
"Statement - js.executeScript(""window.open();"")",Chrome 69.0.3497.92,,2018-09-15 10:34:02,2018-09-15 10:34:03,0.085s,PASSED
Statement - currentWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-15 10:34:03,2018-09-15 10:34:03,0.056s,PASSED
switchToWindowIndex,Chrome 69.0.3497.92,,2018-09-15 10:34:03,2018-09-15 10:34:03,0.050s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 10:34:03,2018-09-15 10:34:05,2.051s,PASSED
Statement - currentTab = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-15 10:34:05,2018-09-15 10:34:05,0.016s,PASSED
,,,,,,
Test Cases/completed/TestCase2_Link Genrator Short link/callingLinkGenrateWithEmail,Chrome 69.0.3497.92,Calling Link genrate with email,2018-09-15 10:34:05,2018-09-15 10:34:52,47.269s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 10:34:06,2018-09-15 10:34:33,27.004s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-15 10:34:33,2018-09-15 10:34:33,0.000s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:34:33,2018-09-15 10:34:33,0.255s,PASSED
Statement - x = CustomKeywords.newPackage.newKeyword.randomString(3).toLowerCase(),Chrome 69.0.3497.92,,2018-09-15 10:34:33,2018-09-15 10:34:33,0.000s,PASSED
Statement - teamMeberName = x,Chrome 69.0.3497.92,,2018-09-15 10:34:33,2018-09-15 10:34:33,0.002s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 10:34:33,2018-09-15 10:34:34,0.738s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 10:34:34,2018-09-15 10:34:34,0.532s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:34:34,2018-09-15 10:34:34,0.106s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:34:34,2018-09-15 10:34:34,0.157s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:34:34,2018-09-15 10:34:38,4.000s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-15 10:34:38,2018-09-15 10:34:38,0.052s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-15 10:34:38,2018-09-15 10:34:38,0.000s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:34:38,2018-09-15 10:34:40,2.004s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:34:40,2018-09-15 10:34:40,0.095s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:34:40,2018-09-15 10:34:42,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:34:42,2018-09-15 10:34:43,0.124s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-15 10:34:43,2018-09-15 10:34:43,0.102s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:34:43,2018-09-15 10:34:48,5.001s,PASSED
"Statement - linkUserName = driver.findElements(org.openqa.selenium.By.className(""text-link-log""))",Chrome 69.0.3497.92,,2018-09-15 10:34:48,2018-09-15 10:34:48,0.029s,PASSED
Statement - previousCountValue = 0,Chrome 69.0.3497.92,,2018-09-15 10:34:48,2018-09-15 10:34:48,0.000s,PASSED
"Statement - For ([i = 0, i < linkUserName.size(), (i++)])",Chrome 69.0.3497.92,,2018-09-15 10:34:48,2018-09-15 10:34:50,1.953s,PASSED
Statement - js = driver,Chrome 69.0.3497.92,,2018-09-15 10:34:50,2018-09-15 10:34:50,0.000s,PASSED
"Statement - js.executeScript(""window.open();"")",Chrome 69.0.3497.92,,2018-09-15 10:34:50,2018-09-15 10:34:50,0.123s,PASSED
Statement - currentWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-15 10:34:50,2018-09-15 10:34:50,0.018s,PASSED
switchToWindowIndex,Chrome 69.0.3497.92,,2018-09-15 10:34:50,2018-09-15 10:34:50,0.012s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 10:34:50,2018-09-15 10:34:52,2.155s,PASSED
Statement - currentTab = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-15 10:34:52,2018-09-15 10:34:52,0.024s,PASSED
,,,,,,
Test Cases/completed/TestCase2_Link Genrator Short link/callingLinkGenrateWithNumber,Chrome 69.0.3497.92,Link genrate through number with call,2018-09-15 10:34:52,2018-09-15 10:35:36,43.482s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 10:34:53,2018-09-15 10:35:19,26.905s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-15 10:35:19,2018-09-15 10:35:19,0.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:35:19,2018-09-15 10:35:20,0.516s,PASSED
Statement - number = CustomKeywords.phoneNumbers.contactNumbers.randomString(9),Chrome 69.0.3497.92,,2018-09-15 10:35:20,2018-09-15 10:35:20,0.001s,PASSED
Statement - Mobile_Number = number,Chrome 69.0.3497.92,,2018-09-15 10:35:20,2018-09-15 10:35:20,0.000s,PASSED
setText,Chrome 69.0.3497.92,,2018-09-15 10:35:20,2018-09-15 10:35:21,0.624s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:35:21,2018-09-15 10:35:21,0.126s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:35:21,2018-09-15 10:35:21,0.194s,PASSED
"Statement - getLink = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getAttribute(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/shortLinkUrlCopy), ""value"")",Chrome 69.0.3497.92,,2018-09-15 10:35:21,2018-09-15 10:35:21,0.583s,PASSED
Statement - println(getLink),Chrome 69.0.3497.92,,2018-09-15 10:35:21,2018-09-15 10:35:21,0.000s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:35:21,2018-09-15 10:35:23,2.000s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:35:23,2018-09-15 10:35:24,0.115s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:35:24,2018-09-15 10:35:26,2.001s,PASSED
click,Chrome 69.0.3497.92,,2018-09-15 10:35:26,2018-09-15 10:35:26,0.118s,PASSED
"Statement - If (com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.verifyElementPresent(com.kms.katalon.core.testobject.ObjectRepository.findTestObject(Dashboard_Link Generator/validation), 5, OPTIONAL))",Chrome 69.0.3497.92,,2018-09-15 10:35:26,2018-09-15 10:35:26,0.092s,PASSED
delay,Chrome 69.0.3497.92,,2018-09-15 10:35:26,2018-09-15 10:35:31,5.001s,PASSED
"Statement - linkUserName = driver.findElements(org.openqa.selenium.By.className(""text-link-log""))",Chrome 69.0.3497.92,,2018-09-15 10:35:31,2018-09-15 10:35:31,0.036s,PASSED
Statement - previousCountValue = 0,Chrome 69.0.3497.92,,2018-09-15 10:35:31,2018-09-15 10:35:31,0.000s,PASSED
"Statement - For ([i = 0, i < linkUserName.size(), (i++)])",Chrome 69.0.3497.92,,2018-09-15 10:35:31,2018-09-15 10:35:33,2.038s,PASSED
Statement - js = driver,Chrome 69.0.3497.92,,2018-09-15 10:35:33,2018-09-15 10:35:33,0.000s,PASSED
"Statement - js.executeScript(""window.open();"")",Chrome 69.0.3497.92,,2018-09-15 10:35:33,2018-09-15 10:35:33,0.108s,PASSED
Statement - currentWindow = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-15 10:35:33,2018-09-15 10:35:33,0.016s,PASSED
switchToWindowIndex,Chrome 69.0.3497.92,,2018-09-15 10:35:33,2018-09-15 10:35:33,0.016s,PASSED
navigateToUrl,Chrome 69.0.3497.92,,2018-09-15 10:35:33,2018-09-15 10:35:35,2.450s,PASSED
Statement - currentTab = com.kms.katalon.core.webui.keyword.WebUiBuiltInKeywords.getWindowIndex(),Chrome 69.0.3497.92,,2018-09-15 10:35:35,2018-09-15 10:35:36,0.020s,PASSED
,,,,,,
Test Cases/completed/TestCase2_Link Genrator Short link/callingLinkGenrateWithTag,Chrome 69.0.3497.92,calling link genrate with custoamer full information,2018-09-15 10:35:36,2018-09-15 10:36:20,44.384s,PASSED
callTestCase,Chrome 69.0.3497.92,,2018-09-15 10:35:36,2018-09-15 10:36:03,27.149s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 69.0.3497.92,,2018-09-15 10:36:03,2018-09-15 10:36:03,0.001s,PASSED
